edge_1	2.6796174	-0.5328549	0.5614704	-2.869553	1.2590752	-0.08688903	-3.6249046	-0.43520448	-0.55780804	1.949464	0.3387397	-0.16047254	0.5656723	-0.99731386	0.686836	1.6926643	-0.93121153	-0.7642664	0.23770238	0.30843678	-0.62224865	-1.6851566	0.75448	2.093483	1.8217001	1.1354718	-1.3996737	-0.49594012	1.616923	0.17802137	2.164143	-0.21778047
edge_2	2.7598364	-0.58061713	0.35778502	-3.050274	1.440717	0.183719	-3.7183585	-1.0581295	-0.7643164	1.8504363	0.51282257	0.2268691	0.33356553	-0.70071757	0.9309482	1.4838297	-1.3580198	-0.6499829	0.033064894	0.27987233	-0.3746201	-1.883288	1.3808038	1.7156	1.94931	1.2826118	-1.1273531	-0.97003615	1.9564078	0.3444575	2.428972	-0.8680253
edge_3	2.3238695	-1.1601751	-0.2701829	-3.38684	1.034543	0.39942905	-3.734514	-1.1218839	-0.5518432	2.3558018	0.99771476	-0.20336407	-0.034390338	-0.71141976	1.5732352	2.034722	-1.8284407	-1.2480452	-0.4997359	0.39176154	-0.8062835	-1.4317855	1.2059426	2.3619401	2.7099175	1.6642554	-1.9429934	-0.1264764	2.2356243	-1.1857347	2.7404084	-0.9951942
edge_4	1.5495608	-0.36855584	0.27642265	-2.8564267	1.0821666	0.019904077	-2.9515681	-0.84234786	-0.2349852	2.114788	0.14705577	0.5437335	0.52326906	-0.73912895	0.64992297	1.9829061	-1.4991751	-0.87646985	-0.5382536	-0.04845041	-0.37428555	-1.1668036	0.91831857	2.6083212	2.6957033	1.7614791	-1.1766965	-1.0103029	2.1539202	-1.1786261	2.6192708	0.33779657
edge_5	2.609252	-0.6812181	0.69591314	-2.7858417	1.0654199	-0.22402968	-2.7528877	-0.15432382	-0.68079305	2.0865955	0.11128281	-0.09794018	0.8191782	-0.706945	0.9077654	1.5006973	-0.69020313	-0.2153984	0.35999477	0.68173283	-0.47751656	-1.6694843	0.8572998	1.9676123	1.7233938	1.4977952	-0.7078217	-0.026606299	1.4498954	0.52294075	2.1085143	-0.6597798
edge_6	2.6585047	-0.56697387	0.44929463	-2.7778835	0.67948276	-0.35896683	-3.2146754	-0.43480754	-0.43802607	1.9663653	0.387573	0.1894083	0.35559997	-0.43711615	0.7512856	1.7881179	-1.2304721	-1.1524609	-0.07790657	0.5448445	-0.8362227	-1.672935	0.80233026	2.1094127	2.169815	1.5920509	-1.3196416	-0.05060073	1.8690774	0.36725038	2.2803857	-1.1663588
edge_7	3.0891275	-0.7700489	0.73684937	-2.8600564	1.270443	0.0861322	-4.0099087	-0.34174788	-0.7613835	1.9477869	0.61388826	-0.37936607	0.6751846	-0.9868765	0.7151722	1.3815662	-0.84030235	-0.4054209	0.55626446	0.46973374	-0.5330612	-1.8202925	0.6406635	1.7478603	1.4727737	0.5358957	-1.2985897	-0.13044074	1.3230021	0.7821429	2.2360973	-0.1667366
edge_8	4.435709	5.06586	4.5396132	-3.033279	0.6630961	0.6714377	-2.545732	-6.417997	2.2613206	0.6957893	-0.51863533	-1.9073472	-6.3206635	-2.4993412	0.07688755	1.3706123	-3.7787108	-3.243833	-0.12140414	-1.4673795	-0.75316674	-4.6755443	-1.5168874	3.4075649	3.1458545	1.0408071	-3.8088827	4.863701	-3.8510857	1.0660832	-4.201267	-1.4485081
edge_9	2.813438	-0.91284686	-0.9707519	-2.345018	1.2662697	0.21792579	-3.2214584	0.19745736	-0.28140032	1.6958073	0.8133527	0.051968366	-0.5815243	-0.9224334	1.2982185	1.6268055	0.18828273	-0.72887325	-0.437917	0.008511268	0.17779961	-1.254281	1.2087085	1.8059963	0.9683527	1.0556854	-1.3232411	-1.7553067	2.2151184	-0.0059728026	1.8004558	-0.97710025
edge_10	2.5680182	0.16269127	1.0266426	-2.6714883	1.2208114	-0.3214995	-3.3824468	-0.7235073	-0.21571845	1.7280555	0.31952202	-0.01810512	0.43423933	-1.0226941	0.4987673	1.5615495	-1.0800987	-0.9197246	0.43146116	0.30628157	-0.67203385	-1.9090223	0.59882903	2.4626193	2.1736293	0.88662606	-1.1983184	-0.29333556	1.4649141	0.25132075	2.0736446	-0.32794964
